chapter,entropy,length
1,3.3228001841470007,11294
2,3.3350053094124266,10923
3,3.347391349481594,9224
4,3.3132792981975125,13876
5,3.32457558583762,11840
6,3.334621619504439,13808
7,3.280428415840552,12663
8,3.2959347901190097,13657
9,3.322424628642876,12620
10,3.284872002600535,11430
11,3.26829507556531,10365
12,3.3006707358809684,11601
